Date,POC,Daily Mean PM2.5 Concentration,Units,Daily AQI Value,Local Site Name,AQS Parameter Description,CBSA Name,State FIPS Code,State,County FIPS Code,County
1/2/2022,1,3,ug/m3 LC,17,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
1/5/2022,1,7.9,ug/m3 LC,44,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
1/8/2022,1,3.9,ug/m3 LC,22,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
1/11/2022,1,6.1,ug/m3 LC,34,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
1/14/2022,1,12.7,ug/m3 LC,58,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
1/17/2022,1,4.4,ug/m3 LC,24,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
1/20/2022,1,4.1,ug/m3 LC,23,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
1/23/2022,1,11.8,ug/m3 LC,56,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
1/26/2022,1,4.1,ug/m3 LC,23,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
2/10/2022,1,9.8,ug/m3 LC,52,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
2/13/2022,1,4.7,ug/m3 LC,26,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
2/16/2022,1,13.9,ug/m3 LC,60,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
2/19/2022,1,5,ug/m3 LC,28,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
2/25/2022,1,5.3,ug/m3 LC,29,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
2/28/2022,1,4,ug/m3 LC,22,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
3/3/2022,1,5.2,ug/m3 LC,29,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
3/9/2022,1,7.7,ug/m3 LC,43,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
3/12/2022,1,3.2,ug/m3 LC,18,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
3/15/2022,1,8.9,ug/m3 LC,49,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
3/21/2022,1,3,ug/m3 LC,17,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
3/24/2022,1,1.9,ug/m3 LC,11,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
3/27/2022,1,1.7,ug/m3 LC,9,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
3/30/2022,1,3.1,ug/m3 LC,17,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
4/2/2022,1,2.6,ug/m3 LC,14,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
4/5/2022,1,5,ug/m3 LC,28,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
4/8/2022,1,3.3,ug/m3 LC,18,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
4/11/2022,1,1.9,ug/m3 LC,11,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
4/14/2022,1,7.6,ug/m3 LC,42,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
4/17/2022,1,1.1,ug/m3 LC,6,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
4/20/2022,1,1.9,ug/m3 LC,11,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
4/23/2022,1,3.7,ug/m3 LC,21,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
4/26/2022,1,4.8,ug/m3 LC,27,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
4/29/2022,1,3.5,ug/m3 LC,19,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
5/2/2022,1,8.1,ug/m3 LC,45,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
5/5/2022,1,2.6,ug/m3 LC,14,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
5/8/2022,1,2.4,ug/m3 LC,13,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
5/11/2022,1,4.5,ug/m3 LC,25,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
5/14/2022,1,29,ug/m3 LC,88,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
5/17/2022,1,2.8,ug/m3 LC,16,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
5/20/2022,1,7,ug/m3 LC,39,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
5/23/2022,1,3.2,ug/m3 LC,18,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
5/26/2022,1,6,ug/m3 LC,33,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
5/29/2022,1,5.3,ug/m3 LC,29,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
6/1/2022,1,6.1,ug/m3 LC,34,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
6/4/2022,1,4.7,ug/m3 LC,26,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
6/7/2022,1,5.9,ug/m3 LC,33,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
6/10/2022,1,3.7,ug/m3 LC,21,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
6/13/2022,1,5.7,ug/m3 LC,32,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
6/16/2022,1,5.8,ug/m3 LC,32,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
6/19/2022,1,4.7,ug/m3 LC,26,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
6/22/2022,1,5.8,ug/m3 LC,32,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
6/25/2022,1,11.4,ug/m3 LC,55,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
6/28/2022,1,2.6,ug/m3 LC,14,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
7/1/2022,1,9.6,ug/m3 LC,52,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
7/4/2022,1,12.7,ug/m3 LC,58,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
7/7/2022,1,5,ug/m3 LC,28,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
7/10/2022,1,4.9,ug/m3 LC,27,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
7/13/2022,1,5.8,ug/m3 LC,32,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
7/16/2022,1,8.1,ug/m3 LC,45,ALBANY COUNTY HEALTH DEPT,PM2.5 - Local Conditions,"Albany-Schenectady-Troy, NY",36,New York,1,Albany
