Notes,Year,Year Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate
,1999,1999,Acute bronchitis due to other specified organisms,J20.8,42,279040168,0.0
,1999,1999,"Acute bronchitis, unspecified",J20.9,260,279040168,0.1
,1999,1999,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,454,279040168,0.2
,1999,1999,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified",J44.1,24,279040168,0.0
,1999,1999,Other specified chronic obstructive pulmonary disease,J44.8,4236,279040168,1.5
,1999,1999,"Chronic obstructive pulmonary disease, unspecified",J44.9,94881,279040168,34.0
,1999,1999,Predominantly allergic asthma,J45.0,182,279040168,0.1
,1999,1999,"Asthma, unspecified",J45.9,3982,279040168,1.4
,2000,2000,Acute bronchitis due to other specified organisms,J20.8,19,281421906,Unreliable
,2000,2000,"Acute bronchitis, unspecified",J20.9,215,281421906,0.1
,2000,2000,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,371,281421906,0.1
,2000,2000,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified",J44.1,28,281421906,0.0
,2000,2000,Other specified chronic obstructive pulmonary disease,J44.8,3911,281421906,1.4
,2000,2000,"Chronic obstructive pulmonary disease, unspecified",J44.9,94394,281421906,33.5
,2000,2000,Predominantly allergic asthma,J45.0,193,281421906,0.1
,2000,2000,"Asthma, unspecified",J45.9,3839,281421906,1.4
,2001,2001,Acute bronchitis due to other specified organisms,J20.8,16,284968955,Unreliable
,2001,2001,"Acute bronchitis, unspecified",J20.9,183,284968955,0.1
,2001,2001,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,293,284968955,0.1
,2001,2001,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified",J44.1,27,284968955,0.0
,2001,2001,Other specified chronic obstructive pulmonary disease,J44.8,3762,284968955,1.3
,2001,2001,"Chronic obstructive pulmonary disease, unspecified",J44.9,96490,284968955,33.9
,2001,2001,Predominantly allergic asthma,J45.0,184,284968955,0.1
,2001,2001,"Asthma, unspecified",J45.9,3707,284968955,1.3
,2002,2002,Acute bronchitis due to other specified organisms,J20.8,18,287625193,Unreliable
,2002,2002,"Acute bronchitis, unspecified",J20.9,188,287625193,0.1
,2002,2002,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,286,287625193,0.1
,2002,2002,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified",J44.1,44,287625193,0.0
,2002,2002,Other specified chronic obstructive pulmonary disease,J44.8,3569,287625193,1.2
,2002,2002,"Chronic obstructive pulmonary disease, unspecified",J44.9,99234,287625193,34.5
,2002,2002,Predominantly allergic asthma,J45.0,190,287625193,0.1
,2002,2002,"Asthma, unspecified",J45.9,3712,287625193,1.3
,2003,2003,Acute bronchitis due to other specified organisms,J20.8,26,290107933,0.0
,2003,2003,"Acute bronchitis, unspecified",J20.9,202,290107933,0.1
,2003,2003,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,264,290107933,0.1
